Country Name,Country Code,Indicator Name,Indicator Code,Valor_Inicial,Ano_Inicial,Valor_Final,Ano_Final,Crescimento_Absoluto,Crescimento_Percentual
Slovenia,SVN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,96.14453125,1990.0,99.3035736083984,2017.0,3.159042358398395,3.2857223570876735
Slovenia,SVN,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,87.2440872192383,1990.0,110.670753479004,2017.0,23.42666625976571,26.851866993457257
Slovenia,SVN,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,93.0809783935547,1990.0,99.1560516357422,2017.0,6.0750732421875,6.526653830927246
Slovenia,SVN,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,5935.0,1990.0,6468.0,2017.0,533.0,8.980623420387532
Solomon Islands,SLB,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,56.2922782897949,1990.0,56.2922782897949,2017.0,0.0,0.0
Solomon Islands,SLB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.75381994247437,1990.0,10.0010795593262,2017.0,7.24725961685183,263.17115019292083
Solomon Islands,SLB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,88.1738433837891,1990.0,114.322692871094,2017.0,26.1488494873049,29.656016437310484
Solomon Islands,SLB,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,13.8793802261353,1990.0,48.4367904663086,2017.0,34.5574102401733,248.9838139537429
Solomon Islands,SLB,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,60.0805511474609,1990.0,88.5957565307617,2017.0,28.515205383300803,47.461624167383995
Solomon Islands,SLB,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,2457.0,1990.0,4051.0,2017.0,1594.0,64.87586487586488
Somalia,SOM,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,,,,
Somalia,SOM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,
Somalia,SOM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,29.2021007537842,1990.0,29.2021007537842,2017.0,0.0,0.0
Somalia,SOM,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,7.35304021835327,1990.0,7.35304021835327,2017.0,0.0,0.0
Somalia,SOM,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,
