Country Name,Country Code,Indicator Name,Indicator Code,Valor_Inicial,Ano_Inicial,Valor_Final,Ano_Final,Crescimento_Absoluto,Crescimento_Percentual
Tuvalu,TUV,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,101.687759399414,1990.0,97.7876129150391,2017.0,-3.9001464843749005,-3.8354139253434822
Tuvalu,TUV,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,69.0,1990.0,117.0,2017.0,48.0,69.56521739130434
Uganda,UGA,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,61.2102584838867,1990.0,59.1550407409667,2017.0,-2.05521774292,-3.3576361117001756
Uganda,UGA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.46187996864319,1990.0,2.21387004852295,2017.0,-0.2480099201202397,-10.074005364970121
Uganda,UGA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,70.5465774536133,1990.0,109.88646697998,2017.0,39.339889526366704,55.76441968745256
Uganda,UGA,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,11.4195404052734,1990.0,23.2365398406982,2017.0,11.8169994354248,103.48051686885628
Uganda,UGA,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,60.6893692016602,1990.0,53.0530014038086,2017.0,-7.636367797851598,-12.58271077505729
Uganda,UGA,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,84149.0,1990.0,192566.0,2017.0,108417.0,128.8393207287074
Ukraine,UKR,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,54.9882202148438,1990.0,18.0335006713867,2017.0,-36.9547195434571,-67.20479295214824
Ukraine,UKR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.45600986480713,1990.0,5.8635401725769,2017.0,0.40753030776977006,7.469383631405445
Ukraine,UKR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,112.268402099609,1990.0,103.914710998535,2017.0,-8.353691101074006,-7.440821232729649
Ukraine,UKR,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,93.7910232543945,1990.0,99.2369384765625,2017.0,5.445915222167997,5.806435448941361
Ukraine,UKR,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.240509033203,1990.0,110.445449829102,2017.0,10.204940795899006,10.180455879886633
Ukraine,UKR,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,119611.0,1990.0,99741.0,2017.0,-19870.0,-16.61218449808128
United Arab Emirates,ARE,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,47.5148086547852,1990.0,47.5148086547852,2017.0,0.0,0.0
United Arab Emirates,ARE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.11103999614716,1990.0,1.11103999614716,2017.0,0.0,0.0
United Arab Emirates,ARE,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,109.388778686523,1990.0,116.345840454102,2017.0,6.957061767579006,6.359940983997964
United Arab Emirates,ARE,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,62.243579864502,1990.0,80.9587097167969,2017.0,18.7151298522949,30.067566635845576
United Arab Emirates,ARE,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,92.9680633544922,1990.0,109.191352844238,2017.0,16.223289489745795,17.450389848270287
United Arab Emirates,ARE,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,11921.0,1990.0,19518.0,2017.0,7597.0,63.72787517825685
United Kingdom,GBR,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,26.7377605438232,1990.0,32.1665802001953,2017.0,5.428819656372099,20.303942985330657
United Kingdom,GBR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.05203008651733,1990.0,5.68426990509033,2017.0,1.6322398185729998,40.28202613806083
United Kingdom,GBR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,106.853477478027,1990.0,108.240211486816,2017.0,1.3867340087889914,1.297790246530961
United Kingdom,GBR,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,84.3638076782227,1990.0,127.81128692627,2017.0,43.4474792480473,51.50014021861491
United Kingdom,GBR,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,
United Kingdom,GBR,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,228000.0,1990.0,272430.0,2017.0,44430.0,19.486842105263158
United States,USA,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,38.1195487976074,1990.0,28.6981906890869,2017.0,-9.4213581085205,-24.715292824011176
United States,USA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.81444978713989,1990.0,5.38078022003174,2017.0,0.5663304328918501,11.763139256423502
United States,USA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,105.162117004395,1990.0,100.147041320801,2017.0,-5.015075683594006,-4.76889951101347
United States,USA,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,91.0075225830078,1990.0,97.5646896362305,2017.0,6.557167053222699,7.20508246693774
United States,USA,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,
United States,USA,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,1427387.0,1990.0,1687937.0,2017.0,260550.0,18.25363408802238
Uruguay,URY,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,34.8906707763672,1990.0,27.8763599395752,2017.0,-7.014310836792003,-20.103685829803727
